,id,sentence,sentiment
0,1005734_5.txt,"I was rather sad, as it means I can't afford a midwife after all.",0
1,1005734_6.txt,"So I called the office, because I was going to switch over the doctor who works with the midwife, but it turns out that everything is billed under the doctor's practice.",0
2,1024729_12.txt,"She really needs it, or I will go nuts.",0
3,1024729_2.txt,"She's very inarticulate about how she's feeling bad, and what help she needs; she just calls me and wants me to come, and seemingly has no notion that it would take me most of a day just to find an open seat on a plane.",0
4,1024729_6.txt,"I think the difficulty is that mom needs the help in the morning, but we asked for it in the afternoon because mom didn't want a strange person intruding before she was well up and ready to do errands.",0
5,1034857_10.txt,It was so bad that they had all of the guests taken into the basement of the main hall.,0
6,1034857_11.txt,We weren't there for very long but it was long enough to keep the entire inside of the car wet for the next 4 days.,0
7,1034857_14.txt,"About a 6 hour drive and we got to our hotel, ""The wagon Wheel."" $50 a night, you know the saying ""you get what you pay for?"" totally true.",0
8,1034857_16.txt,My parents had to switch rooms three times.,0
9,1034857_17.txt,The first room had something like blood or shit on the floor and the bed sheets hadn't been changed (we know because there was hair and stains on the sheets when they checked).,0
10,1034857_20.txt,So my mom and Dad told the front desk to just have someone run new sheets up to their room and leave some cleaning products and they would clean the room themselves because the room attendant was a horribly skeevy meth addict.,0
11,1034857_21.txt,"I saw him, hard core meth head.",0
12,1034857_28.txt,My cousin's wife is a total space.,0
13,1034857_30.txt,The food and the wine at the reception kinda sucked but I'm not gonna hold it against them because they don't have any money.,0
14,1034857_32.txt,My team lost.,0
15,1034857_5.txt,My family and I decided to go on the monorail to see everything at which point we noticed that the sky was getting rather dark and we realized that we had left the windows in the car down.,0
16,1034857_60.txt,"After the flight landed we were delayed for two hours because of a thunder storm, which really freaked my sister an I out because we had bought tickets to see the Dark Knight at 12:01 am on ""Thursday, July 17'th."" Funny story, Fandango sucks because they really mean the 18'th.",0
17,1034857_61.txt,After stressing for a while my sister and I managed to make it to the Courtland theater with 15 minutes to spare only to find out that the shit was tomorrow.,0
18,1034857_9.txt,"I had never seen a storm like this in my entire life, it was absurd.",0
19,1043203_1.txt,"When I logged on, Nurima gets all indignant with me, claiming that she sent me whispers and that I'm not responding to anything she's saying.",0
20,1043203_10.txt,Is it just me or are these posts getting shorter and shorter?,0
21,1043203_8.txt,"Personally, I thought the punch line was kinda harsh.",0
22,1056830_12.txt,There are things out of my control that make me nervous too.,0
23,1056830_15.txt,"The whole time I kept wanting to remind them, uh, this story is for the entertainment segment.",0
24,1056830_17.txt,"You know, I'm not sure they would have seen the humor in that.",0
25,1056830_19.txt,Points off from my score if you see any of the store employees in any of the shots.,0
26,1056830_2.txt,"At the time, silly me, I didn't understand the cultural and social significance of that particular upscale department store.",0
27,1056830_22.txt,"Unfortunately, I'm not editing the piece, so I won't have control over what footage is used.",0
28,1056830_23.txt,"See, that makes me a teensy bit nervous.",0
29,1056830_4.txt,I can sense my wife rolling her eyes in frustration right now.,0
30,1070862_13.txt,Everyone left so me and Trav then alone had an amazingly bad camping experience which can never be retold with accuracy.,0
31,1070862_21.txt,Then Trav got up and I was accused of being domestic.,0
32,1070862_24.txt,"Justine and me went to the carwash, which is another one of those life experience-experiences that'll never be retold accurately and should have been a lot easier than it was.",0
33,1070862_3.txt,Monday I was coerced into working at the office a half day then spent the rest of the day on my bike.,0
34,1070862_33.txt,"Anyway, I still don't think I'm able to eat for at least a month after 99 last night.",0
35,1070862_37.txt,"I feel so dorky buying myself stuff, but I'm never going to get a real job in a Batman teeshirt.",0
36,1070862_5.txt,So then I didn't go to work either of those days because I was with him.,0
37,1070942_39.txt,Finishing winless in Southwest prairie conference play is not something the Oswego girls' volleyball team wants to repeat in 2008 jessica simpson see through jessica simpson wardrobe malfunction.,0
38,1083910_1.txt,It was a pretty stupid idea to drink so much before the show.,0
39,1083910_12.txt,"And I almost passed out a few times on the table and the security guards would bang their flashlights on the table and be like ""you can't sleep here go out to your car"" and im like shit son.",0
40,1083910_13.txt,So I sat out for a song or two and was really pissed off at myself for being so fucked up that I couldnt go dance it out without spewing everywhere probably.,0
41,1083910_19.txt,So that disappointed me.,0
42,1083910_2.txt,Yeah I wanted to get fucked up but alcohol is a depressant and makes you dumb.,0
43,1083910_24.txt,And he was probably so fucked up he didnt even hear me.,0
44,1083910_4.txt,"Right when I got into the crowd, I was all drunk and sort of yelling at everybody and telling everybody that they were fags for coming to see MSI.",0
45,1083910_5.txt,"At the time I thought it was funny, but afterwards, I know im an idiot.",0
46,1083910_7.txt,So I kept telling everyone to fuck off.,0
47,108548_1.txt,I am by some means rather a shy person.,0
48,108548_12.txt,"But every time she attempted talking to me, I found myself too shy to respond for some reason.",0
49,108548_13.txt,"At one stage, upon completion of the film, she asked me to dance in front of everybody, which made me very nervous due to the fact that my dancing instinct is rather poor.",0
50,108548_14.txt,"This was the straw, I'm afraid.",0
51,108548_15.txt,"As soon as she sussed out that I was not capable of providing her with a single two-step, she directed her affections in other directions immediately.",0
52,108548_16.txt,"The problem lies with me, obviously, and to think that I was a foxtrot away from knocking boots, made and still makes me feel like a git.",0
53,108548_4.txt,"Being shy does you no favors in this social age, and I find myself constantly refecting on my shyness.",0
54,108548_6.txt,In my state of current (undesired),0
55,108548_7.txt,"Celibacy, I often rewind several situations in my past in which I shouldn't.",0
56,108548_8.txt,"The one that nags me most recently was when I was a grip/spark on a set of a movie called ""The house"".",0
57,108548_9.txt,"You can imdb it yourselves, the movie is a complete disaster; and if you're having problems figuring out which movie I am refering to; David Krea is the password...",0
58,108549_17.txt,Apparently I can't get away from things that remind me of Austin even if I tried... ahh!,0
59,108549_26.txt,"I don't know why it's so popular, because it really looks like a giant bean to me (mm bean burritos).",0
60,108549_27.txt,"I mean, sure, it's shiny and reflects the Chicago skyline, but it's still just a weird, shiny, food-like... thing!",0
61,108549_36.txt,Man was I was disappointed with the deep dish pizza that I had (twice).,0
62,108549_38.txt,"I can see why people like it, but it's just way too cheesy and fatty for me... ugh.",0
63,108549_43.txt,"I was freezing the entire time though, since the temperature was still in the mid 50s and 60s there.",0
64,108549_48.txt,I can't believe I have to get back to Austin in just a little more than a week.,0
65,108549_5.txt,"When we first landed in Chicago, I saw the news on CNN about the crazy hail storms in Austin.",0
66,108549_53.txt,I almost forgot!,0
67,108549_6.txt,It was weird...,0
68,108550_16.txt,My mother was a sore loser and constantly criticized me and my sister.,0
69,108550_17.txt,I am getting so sick of her attitude.,0
70,108550_24.txt,It's vampire training... Seriously... when she does something callous...,0
71,108550_25.txt,It gets a little quiet and everyone looks at me with disbelief.,0
72,108550_26.txt,Thebeardedone fears Katie (me) is getting callous... and so he's worried about me *laughs*,0
73,108550_33.txt,"They had no idea what we were talking about, (The MIBs) because we were talking gamer and they were all like wtf?!?!?!",0
74,108550_39.txt,I forgot how much I hated some of those people.,0
75,108550_43.txt,"It was a gay film, I was unaware of this when I rented it (but Netflix kept recommending it to me), and it's the type of ""Lesbian movie""",0
76,108550_44.txt,I can't fucking stand.,0
77,108550_45.txt,It was trite and it had a ridiculous number of extraneous characters.,0
78,108550_50.txt,And when the philipino got angry at her hypocricy she said something like I am Hispanic!,0
79,108550_51.txt,"I can't help it!"" and I was like ""chu bitch...",0
80,108550_52.txt,I will stab chuz!,0
81,108550_53.txt,It was incredibly lame.,0
82,108550_8.txt,My mother is still entirely useless and after playing for a week still uses a cheat sheet to remember the characters from 6-9.,0
83,108551_12.txt,There was much grumbling in the kitchen when I alerted them to the presence of a new guest right before the final shut down was to happen.,0
84,108551_13.txt,"""Refugee, are you fucking kidding me?"" Nelson, the young sous Chef who was in charge of the kitchen since the executive Chef had long since departed said with obvious frustration knowing he had no choice in the matter.",0
85,108551_14.txt,"Nelson, I think you are out of diet Coke.",0
86,108551_17.txt,I checked on the two tables remaining in the dining room and returned to my now very cold hanger steak waiting for me at the bar.,0
87,108551_4.txt,I exited the kitchen in desperate need of espresso and had to use every bit of my general Manager nonchalance to look at her just long enough to smile a hello.,0
88,108551_9.txt,"It was a slow night, the dinning room mostly empty 10 minutes before the kitchen closed.",0
89,108553_3.txt,I was covering the ozone Awards for Fox 26 News when I noticed the cops stopping several people.,0
90,108553_4.txt,I began asking questions and the officers on the scene told me they smelled marijuana and decided to pull some folk over.,0
91,108555_11.txt,That plan got shot to hell about ten minutes into my shift.,0
92,108555_13.txt,He canceled the training and had me take a sat truck to the accident scene.,0
93,108555_21.txt,It was difficult to find anything worthwhile.,0
94,108555_29.txt,A guy threw himself in front of my van to block me from crossing through a dirt field which he claimed was private property.,0
95,108555_33.txt,That banana was the only thing I had to eat until after ten o'clock.,0
96,108555_34.txt,"Right around 10pm, I got sent on a mission to find a guy who had shot some home video of the crash nearly right after it happened.",0
97,108555_37.txt,"The sat truck doesn't have a computer edit system, so I had no direct way of getting the footage off the DVD.",0
98,108555_4.txt,The train wreck on Friday caught me by surprise.,0
99,108555_41.txt,It was far too graphic for airing on our channels.,0
100,108555_42.txt,"Until I saw the home video, I have to admit, I felt mostly disconnected from the story.",0
